name,price,costPrice,category,stock,barcode,image
Cheese 1,44,29,Personal Care,183,300001,https://source.unsplash.com/300x300/?Cheese
Sugar 2,195,178,Snacks,158,300002,https://source.unsplash.com/300x300/?Sugar
Toothpaste 3,191,182,Fruits,61,300003,https://source.unsplash.com/300x300/?Toothpaste
Shampoo 4,173,156,Bakery,182,300004,https://source.unsplash.com/300x300/?Shampoo
Milk 5,181,180,Bakery,139,300005,https://source.unsplash.com/300x300/?Milk
Milk 6,118,99,Snacks,27,300006,https://source.unsplash.com/300x300/?Milk
Biscuits 7,206,200,Snacks,140,300007,https://source.unsplash.com/300x300/?Biscuits
Salt 8,199,188,Snacks,180,300008,https://source.unsplash.com/300x300/?Salt
Oil 9,29,20,Beverages,196,300009,https://source.unsplash.com/300x300/?Oil
Sugar 10,123,121,Bakery,131,300010,https://source.unsplash.com/300x300/?Sugar
Soap 11,89,86,Fruits,186,300011,https://source.unsplash.com/300x300/?Soap
Toothpaste 12,122,117,Bakery,93,300012,https://source.unsplash.com/300x300/?Toothpaste
Soap 13,105,96,Grocery,33,300013,https://source.unsplash.com/300x300/?Soap
Banana 14,82,71,Personal Care,198,300014,https://source.unsplash.com/300x300/?Banana
Juice 15,185,181,Dairy,151,300015,https://source.unsplash.com/300x300/?Juice
Milk 16,142,132,Bakery,188,300016,https://source.unsplash.com/300x300/?Milk
Cheese 17,108,92,Grocery,120,300017,https://source.unsplash.com/300x300/?Cheese
Chips 18,149,130,Snacks,37,300018,https://source.unsplash.com/300x300/?Chips
Chocolate 19,49,46,Personal Care,60,300019,https://source.unsplash.com/300x300/?Chocolate
Cheese 20,218,199,Beverages,164,300020,https://source.unsplash.com/300x300/?Cheese
Soap 21,195,193,Snacks,90,300021,https://source.unsplash.com/300x300/?Soap
Shampoo 22,130,126,Bakery,15,300022,https://source.unsplash.com/300x300/?Shampoo
Chocolate 23,129,117,Grocery,125,300023,https://source.unsplash.com/300x300/?Chocolate
Toothpaste 24,25,14,Fruits,48,300024,https://source.unsplash.com/300x300/?Toothpaste
Chips 25,202,202,Beverages,153,300025,https://source.unsplash.com/300x300/?Chips
Shampoo 26,48,32,Beverages,72,300026,https://source.unsplash.com/300x300/?Shampoo
Oil 27,21,18,Snacks,62,300027,https://source.unsplash.com/300x300/?Oil
Biscuits 28,149,136,Beverages,94,300028,https://source.unsplash.com/300x300/?Biscuits
Apple 29,132,131,Snacks,121,300029,https://source.unsplash.com/300x300/?Apple
Shampoo 30,39,36,Snacks,30,300030,https://source.unsplash.com/300x300/?Shampoo
Sugar 31,191,185,Fruits,65,300031,https://source.unsplash.com/300x300/?Sugar
Banana 32,212,208,Snacks,89,300032,https://source.unsplash.com/300x300/?Banana
Sugar 33,216,209,Beverages,133,300033,https://source.unsplash.com/300x300/?Sugar
Sugar 34,200,190,Personal Care,167,300034,https://source.unsplash.com/300x300/?Sugar
Soap 35,203,188,Fruits,24,300035,https://source.unsplash.com/300x300/?Soap
Chocolate 36,110,100,Bakery,182,300036,https://source.unsplash.com/300x300/?Chocolate
Rice 37,56,47,Snacks,107,300037,https://source.unsplash.com/300x300/?Rice
Biscuits 38,149,148,Bakery,78,300038,https://source.unsplash.com/300x300/?Biscuits
Cheese 39,183,179,Personal Care,7,300039,https://source.unsplash.com/300x300/?Cheese
Oil 40,76,63,Fruits,151,300040,https://source.unsplash.com/300x300/?Oil
Banana 41,178,162,Dairy,181,300041,https://source.unsplash.com/300x300/?Banana
Sugar 42,206,187,Beverages,167,300042,https://source.unsplash.com/300x300/?Sugar
Chips 43,210,200,Beverages,56,300043,https://source.unsplash.com/300x300/?Chips
Shampoo 44,21,19,Grocery,125,300044,https://source.unsplash.com/300x300/?Shampoo
Banana 45,162,154,Grocery,159,300045,https://source.unsplash.com/300x300/?Banana
Oil 46,155,141,Dairy,197,300046,https://source.unsplash.com/300x300/?Oil
